pid,ReadFile,WriteFile,CloseHandle,Sleep,CreateProcess,ProcessSnapshot,ThreadManipulation,MemoryManipulation,TokenPrivileges
3176,0,0,0,2,0,0,0,0,0
3176,3,1,3,3,0,0,0,0,14
3176,3,1,3,2,0,0,0,0,26
3176,3,1,3,2,0,0,0,0,15
3176,0,1,1,3,0,0,0,0,1
3176,0,1,1,2,0,0,0,0,5
3176,3,1,3,3,0,0,0,0,35
3176,3,1,3,2,0,0,0,0,16
3176,0,1,1,3,0,0,0,0,0
3176,0,1,1,2,0,0,0,0,0
3176,0,1,1,2,0,0,0,0,0
3176,0,1,1,3,0,0,0,0,0
3176,0,1,1,2,0,0,0,0,0
3176,0,1,1,3,0,0,0,0,0
3176,0,1,1,2,0,0,0,0,0
3176,0,1,1,3,0,0,0,0,0
3176,0,1,1,2,0,0,0,0,0
3176,0,1,1,2,0,0,0,0,4
3176,3,1,3,3,0,0,0,0,14
3176,3,1,3,2,0,0,0,0,21
3176,0,1,1,3,0,0,0,0,10
3176,0,1,1,2,0,0,0,0,18
3176,3,1,3,3,0,0,0,0,38
3176,3,1,3,2,0,0,0,0,36
3176,0,1,1,2,0,0,0,0,0
3176,0,1,1,3,0,0,0,0,0
3176,0,1,1,2,0,0,0,0,9
3176,3,1,3,3,0,0,0,0,20
3176,0,1,1,2,0,0,0,0,1
3176,0,1,1,3,0,0,0,0,0
3176,0,1,1,2,0,0,0,0,0
3176,0,1,1,2,0,0,0,0,0
3176,0,1,1,3,0,0,0,0,0
3176,0,1,1,2,0,0,0,0,0
3176,0,1,1,3,0,0,0,0,0
3176,0,1,1,2,0,0,0,0,0
3176,3,1,3,3,0,0,0,0,18
3176,0,1,1,2,0,0,0,0,3
3176,0,1,1,2,0,0,0,0,6
3176,0,1,1,3,0,0,0,0,2
3176,0,1,1,2,0,0,0,0,0
3176,0,1,1,3,0,0,0,0,6
3176,0,1,1,2,0,0,0,0,1
3176,0,1,1,3,0,0,0,0,0
3176,3,1,3,2,0,0,0,0,18
3176,0,1,1,2,0,0,0,0,8
3176,0,1,1,3,0,0,0,0,3
3176,18,3,4,3,0,0,0,0,8
3176,3,1,3,2,0,0,0,0,16
3176,0,1,1,3,0,0,0,0,2
3176,0,1,1,2,0,0,0,0,0
3176,0,1,1,2,0,0,0,0,0
3176,0,1,1,3,0,0,0,0,0
3176,0,1,1,2,0,0,0,0,0
3176,0,1,1,3,0,0,0,0,4
3176,0,1,1,2,0,0,0,0,0
3176,3,1,3,3,0,0,0,0,15
3176,0,1,1,2,0,0,0,0,1
3176,0,1,1,2,0,0,0,0,0
3176,0,1,1,3,0,0,0,0,0
3176,0,1,1,2,0,0,0,0,0
3176,0,1,1,3,0,0,0,0,0
3176,0,1,1,2,0,0,0,0,0
3176,0,1,1,3,0,0,0,0,0
3176,0,1,1,2,0,0,0,0,0
3176,0,1,1,2,0,0,0,0,0
3176,0,1,1,3,0,0,0,0,0
3176,0,1,1,2,0,0,0,0,0
3176,0,1,1,3,0,0,0,0,0
3176,0,1,1,2,0,0,0,0,0
3176,0,1,1,3,0,0,0,0,0
3176,0,1,1,2,0,0,0,0,0
3176,3,1,3,2,0,0,0,0,16
3176,18,4,5,2,0,0,0,0,33
3176,3,1,3,3,0,0,0,0,15
3176,0,1,1,2,0,0,0,0,1
3176,0,1,1,3,0,0,0,0,0
3176,0,1,1,2,0,0,0,0,0
3176,0,1,1,2,0,0,0,0,0
3176,0,1,1,3,0,0,0,0,0
3176,0,1,1,2,0,0,0,0,0
3176,0,1,1,3,0,0,0,0,0
3176,0,1,1,2,0,0,0,0,0
3176,0,1,1,3,0,0,0,0,0
3176,0,1,1,2,0,0,0,0,0
3176,3,1,3,2,0,0,0,0,16
3176,0,1,1,3,0,0,0,0,0
3176,0,1,1,2,0,0,0,0,0
3176,0,1,1,3,0,0,0,0,1
3176,0,1,1,2,0,0,0,0,1
3176,0,1,1,3,0,0,0,0,0
3176,0,1,1,2,0,0,0,0,0
3176,0,1,1,2,0,0,0,0,0
3176,0,1,1,3,0,0,0,0,0
3176,0,1,1,2,0,0,0,0,0
3176,0,1,1,3,0,0,0,0,0
3176,3,1,3,2,0,0,0,0,14
3176,0,1,1,3,0,0,0,0,1
3176,3,1,3,2,0,0,0,0,15
3176,0,1,1,2,0,0,0,0,0
3176,3,1,3,3,0,0,0,0,14
3176,0,1,1,2,0,0,0,0,6
3176,3,1,3,3,0,0,0,0,12
3176,0,1,1,2,0,0,0,0,1
3176,0,1,1,3,0,0,0,0,0
3176,0,1,1,2,0,0,0,0,0
3176,0,1,1,2,0,0,0,0,0
3176,0,1,1,3,0,0,0,0,0
3176,3,1,3,2,0,0,0,0,14
3176,0,1,1,3,0,0,0,0,0
3176,0,1,1,2,0,0,0,0,6
3176,0,1,1,3,0,0,0,0,1
3176,0,1,3,3,1,0,0,0,0


